latitude,longitude,altitude,geometry,HID,Type,Kodomo,Name,Label,AgeS,AgeE,Full,Open,Close,H24,Memo,Extra,Temp,Holiday,Night,Add1,Add2,TEL,FAX,Owner,Ownership,Proof,Shanai,Y,X,url,Vacancy,VacancyDate
35.629524,139.413982,,Point,1052,認可保育所,,めぐみ第一保育園,めぐみ第一保育園,産休明け,,123,07:00,18:00,,祝日及び12/29～1/3は休園、延長保育19:00まで,,,,,八王子市,松が谷14,,,社会福祉法人公徳福祉会,私,,,35.629524,139.413982,http://www.city.hachioji.tokyo.jp/kurashi/kosodate/003/001/hoikujyoitiran/p001265.html,,
35.68229,139.293018,,Point,1053,認可保育所,,松枝保育園,松枝保育園,産休明け,,92,07:15,18:15,,祝日及び12/29～1/3は休園、延長保育18:45まで,,,,,八王子市,諏訪町1922-1,,,社会福祉法人いちご会,私,,,35.68229,139.293018,http://www.city.hachioji.tokyo.jp/kurashi/kosodate/003/001/hoikujyoitiran/p001265.html,,
35.656043,139.280412,,Point,1054,認可保育所,,城山保育園,城山保育園,産休明け,,110,07:30,18:30,,祝日及び12/29～1/3は休園、延長保育19:00まで,,Y,,,八王子市,元八王子町二丁目2025-2,,,社会福祉法人共栄会,私,,,35.656043,139.280412,http://www.city.hachioji.tokyo.jp/kurashi/kosodate/003/001/hoikujyoitiran/p001265.html,,
35.68713,139.2505,,Point,1055,認可保育所,,美山保育園,美山保育園,3か月,,70,07:15,18:15,,祝日及び12/29～1/3は休園、延長保育なし,,,,,八王子市,美山町1791-3,,,社会福祉法人太和会,私,,,35.68713,139.2505,http://www.city.hachioji.tokyo.jp/kurashi/kosodate/003/001/hoikujyoitiran/p001265.html,,
35.663579,139.319269,,Point,1056,認可保育所,,白百合ベビーホーム,白百合ベビーホーム,産休明け,,45,07:00,18:00,,祝日及び12/29～1/3は休園、延長保育19:00まで,,Y,,,八王子市,元本郷町二丁目6-20,,,社会福祉法人愛和会,私,,,35.663579,139.319269,http://www.city.hachioji.tokyo.jp/kurashi/kosodate/003/001/hoikujyoitiran/p001265.html,,
35.684935,139.349572,,Point,1057,認可保育所,,わらべ保育園,わらべ保育園,産休明け,,131,07:00,18:00,,祝日及び12/29～1/3は休園、延長保育19:00まで,,,,,八王子市,宇津木町832,,,社会福祉法人清心福祉会,私,,,35.684935,139.349572,http://www.city.hachioji.tokyo.jp/kurashi/kosodate/003/001/hoikujyoitiran/p001265.html,,
35.68322,139.296843,,Point,1058,認可保育所,,からまつ保育園,からまつ保育園,産休明け,,130,07:00,18:00,,祝日及び12/29～1/3は休園、延長保育19:00まで,,,,,八王子市,川口町1543,,,社会福祉法人東京玉葉会,私,,,35.68322,139.296843,http://www.city.hachioji.tokyo.jp/kurashi/kosodate/003/001/hoikujyoitiran/p001265.html,,
35.627064,139.287524,,Point,1059,認可保育所,,館ヶ丘保育園,館ヶ丘保育園,産休明け,,100,07:00,18:00,,祝日及び12/29～1/3は休園、延長保育19:00まで,,,,,八王子市,館町1097,,,社会福祉法人九頭竜会,私,,,35.627064,139.287524,http://www.city.hachioji.tokyo.jp/kurashi/kosodate/003/001/hoikujyoitiran/p001265.html,,
35.663937,139.326674,,Point,1060,認可保育所,,白百合第二ベビーホーム,白百合第二ベビーホーム,産休明け,,30,07:00,18:00,,祝日及び12/29～1/3は休園、延長保育19:00まで,,,,,八王子市,平岡町20-3,,,社会福祉法人愛和会,私,,,35.663937,139.326674,http://www.city.hachioji.tokyo.jp/kurashi/kosodate/003/001/hoikujyoitiran/p001265.html,,
35.673402,139.292641,,Point,1061,認可保育所,,さつき保育園,さつき保育園,産休明け,,102,07:30,18:30,,祝日及び12/29～1/3は休園、延長保育19:00まで,,,,,八王子市,大楽寺町347-1,,,社会福祉法人報徳福祉会,私,,,35.673402,139.292641,http://www.city.hachioji.tokyo.jp/kurashi/kosodate/003/001/hoikujyoitiran/p001265.html,,
35.667373,139.342359,,Point,1062,認可保育所,,省我保育園,省我保育園,産休明け,,100,07:30,18:30,,祝日及び12/29～1/3は休園、延長保育19:00まで,,,,,八王子市,大和田町七丁目6-17,,,社会福祉法人省我会,私,,,35.667373,139.342359,http://www.city.hachioji.tokyo.jp/kurashi/kosodate/003/001/hoikujyoitiran/p001265.html,,
35.649461,139.304652,,Point,1063,認可保育所,,たんぽぽ保育園,たんぽぽ保育園,産休明け,,71,07:15,18:15,,祝日及び12/29～1/3は休園、延長保育19:15まで,,Y,,,八王子市,散田町五丁目17-20,,,社会福祉法人童愛会,私,,,35.649461,139.304652,http://www.city.hachioji.tokyo.jp/kurashi/kosodate/003/001/hoikujyoitiran/p001265.html,,
35.62697,139.35862,,Point,1064,認可保育所,,なみのり保育園,なみのり保育園,産休明け,,100,07:00,18:00,,祝日及び12/29～1/3は休園、延長保育19:00まで,,,,,八王子市,中山858,,,社会福祉法人長慶福祉会,私,,,35.62697,139.35862,http://www.city.hachioji.tokyo.jp/kurashi/kosodate/003/001/hoikujyoitiran/p001265.html,,
35.672291,139.296521,,Point,1065,認可保育所,,フエロー保育園,フエロー保育園,産休明け,,30,07:15,18:15,,祝日及び12/29～1/3は休園、延長保育なし,,,,,八王子市,大楽寺町508-1,,,社会福祉法人八王子ふじみ会,私,,,35.672291,139.296521,http://www.city.hachioji.tokyo.jp/kurashi/kosodate/003/001/hoikujyoitiran/p001265.html,,
35.66418,139.360938,,Point,1066,認可保育所,,南原台保育園,南原台保育園,産休明け,,100,07:30,18:30,,祝日及び12/29～1/3は休園、延長保育なし,,,,,八王子市,大和田町一丁目3-14,,,社会福祉法人愛真会,私,,,35.66418,139.360938,http://www.city.hachioji.tokyo.jp/kurashi/kosodate/003/001/hoikujyoitiran/p001265.html,,
35.680531,139.267212,,Point,1067,認可保育所,,元木保育園,元木保育園,3か月,,60,07:15,18:15,,祝日及び12/29～1/3は休園、延長保育なし,,,,,八王子市,下恩方町595,,,社会福祉法人ゆうやけ会,私,,,35.680531,139.267212,http://www.city.hachioji.tokyo.jp/kurashi/kosodate/003/001/hoikujyoitiran/p001265.html,,
